asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
612,30.163165519,209.0,0.0,ADM3,612,612,ETH,ETH-ADM3-50319843B49482886,Hawasa Town,ADM3
613,380.629060797,594.0,83.0,ADM3,613,613,ETH,ETH-ADM3-50319843B10092424,Malga,ADM3
614,122.262647931,560.0,13.0,ADM3,614,614,ETH,ETH-ADM3-50319843B28299074,Shebe Dino,ADM3
615,596.261743589,1015.0,100.0,ADM3,615,615,ETH,ETH-ADM3-50319843B9933140,Gorche,ADM3
616,109.843672421,376.0,27.0,ADM3,616,616,ETH,ETH-ADM3-50319843B68323870,Dale,ADM3
617,417.392508444,954.0,34.0,ADM3,617,617,ETH,ETH-ADM3-50319843B885534,Wonosho,ADM3
618,359.829446358,969.0,68.0,ADM3,618,618,ETH,ETH-ADM3-50319843B5517433,Humbo,ADM3
619,155.772974843,538.0,48.0,ADM3,619,619,ETH,ETH-ADM3-50319843B22575899,Aleta Wendo,ADM3
620,738.181508081,971.0,349.0,ADM3,620,620,ETH,ETH-ADM3-50319843B10669306,Bona Zuria,ADM3
621,597.368210145,998.0,214.0,ADM3,621,621,ETH,ETH-ADM3-50319843B1964294,Bursa,ADM3
622,1093.96037688,1822.0,607.0,ADM3,622,622,ETH,ETH-ADM3-50319843B54103019,Bensa,ADM3
623,439.47714359,633.0,99.0,ADM3,623,623,ETH,ETH-ADM3-50319843B50218624,Mareko,ADM3
624,729.452399904,1170.0,249.0,ADM3,624,624,ETH,ETH-ADM3-50319843B55549277,Misha,ADM3
625,485.914755647,687.0,194.0,ADM3,625,625,ETH,ETH-ADM3-50319843B41020102,Shashogo,ADM3
626,159.268237468,588.0,18.0,ADM3,626,626,ETH,ETH-ADM3-50319843B9742580,Mirab Abaya,ADM3
627,353.051228531,1174.0,95.0,ADM3,627,627,ETH,ETH-ADM3-50319843B8044112,Ubadebretsehay,ADM3
628,522.37022854,1346.0,162.0,ADM3,628,628,ETH,ETH-ADM3-50319843B85948351,Bena Tsemay,ADM3
629,254.808808488,513.0,117.0,ADM3,629,629,ETH,ETH-ADM3-50319843B63024446,Kochere,ADM3
630,456.578398031,819.0,146.0,ADM3,630,630,ETH,ETH-ADM3-50319843B72320685,Kochere Gedeb,ADM3
631,269.434226919,703.0,86.0,ADM3,631,631,ETH,ETH-ADM3-50319843B19613534,Wenago,ADM3
632,377.703587204,805.0,79.0,ADM3,632,632,ETH,ETH-ADM3-50319843B8782234,Dila Zuria,ADM3
633,237.800913907,631.0,27.0,ADM3,633,633,ETH,ETH-ADM3-50319843B65190962,Boricha,ADM3
634,291.78855715,617.0,58.0,ADM3,634,634,ETH,ETH-ADM3-50319843B86826357,Diguna Fango,ADM3
635,317.655949891,715.0,74.0,ADM3,635,635,ETH,ETH-ADM3-50319843B43059646,Damot Weydie,ADM3
636,223.595628039,620.0,54.0,ADM3,636,636,ETH,ETH-ADM3-50319843B39262973,Misrak Badawacho,ADM3
637,178.97845617,312.0,109.0,ADM3,637,637,ETH,ETH-ADM3-50319843B6461056,Mierab Badawacho,ADM3
638,409.376557729,1006.0,130.0,ADM3,638,638,ETH,ETH-ADM3-50319843B13882053,Kebena,ADM3
639,869.391403268,1457.0,341.0,ADM3,639,639,ETH,ETH-ADM3-50319843B78793647,Muhur Na Aklil,ADM3
640,515.826921108,1086.0,220.0,ADM3,640,640,ETH,ETH-ADM3-50319843B85036104,Hamer,ADM3
641,513.231827346,942.0,300.0,ADM3,641,641,ETH,ETH-ADM3-50319843B73527689,Dasenech (Kuraz),ADM3
642,2143.37969166,3057.0,1424.0,ADM3,642,642,ETH,ETH-ADM3-50319843B21430678,Bero,ADM3
643,1247.56678151,3068.0,226.0,ADM3,643,643,ETH,ETH-ADM3-50319843B48230201,Gurafereda,ADM3
644,444.276476588,1137.0,164.0,ADM3,644,644,ETH,ETH-ADM3-50319843B96617967,Sheka,ADM3
645,1024.74340038,1941.0,419.0,ADM3,645,645,ETH,ETH-ADM3-50319843B36533817,Debub Bench,ADM3
646,349.191637089,975.0,147.0,ADM3,646,646,ETH,ETH-ADM3-50319843B2470660,Semen Bench,ADM3
