IncidentDate,Time,MGRS,Latitude,Longitude,Adm2,Adm0,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,Adm1,ConflictOrCrimeOriented
1/23/2024,,37PCK1619095194,8.999301,37.327925,Ejaji,Oromia,No,,Yes,Armed Clash,ENDF & OLA,,Crime,"As of early morning today, fighting has been reported in the outskirts of Ejaji town located in the West Shewa Zone of the Oromia Region. This conflict, involving government security forces and the Oromo Liberation Army (OLA), has led to the closure of the main road connecting Addis Ababa to Nekemte, resulting in temporary disruptions to transportation services in the area.",0,0,No,No,,West Shewa,conflict oriented
1/23/2024,,36PXQ5334015155,8.276692,34.39231,Gambella,Gambella,No,,Yes,Armed Clash,UAG,Public bus,Crime,"An armed assault by an unknown armed group was reported on a public bus traveling from the Itang corridor to Gambella between the Akado checkpoint and Nyueyniel junction in in Itang Special Woreda in the Gambella Region. Reportedly, an unspecified number of passengers were injured in the attack. Consequently, vehicular movement has been halted in the area, and the security situation on this route is currently unpredictable.",0,Unknown,Yes,No,,Itang Special,crime oriented
1/22/2024,,37PCQ3367701882,12.676801,37.468366,Gonder,Amhara,Yes,,Yes,Armed Clash,ENDF,Chruch,Explosive/Remote Violence,DW Amharic reported that two hand grenade attack reported in Gonder. One was at Abosefer and the second was at Debremitmak mariam church and no damage reported,0,0,No,No,DW Amharic,Central Gonder,crime/conflict oriented
1/22/2024,,37PDM6691731068,10.231907,38.697927,Gundomeskel,Oromia,No,,Yes,Crime/Killing,OLA,Chruch,Crime,"Wazema radio reported that Looting, killing (two Moncks) and kidnapping reported in Dera Woreda against Salayish st. merry church allegedly by OLA Shene.",0,0,No,No,Wazema Radio,North Shewa,Crime oriented
1/17/2024,,37PCN3281350514,11.308364,37.468161,Adet,Amhara,Yes,,Yes,Drone Strike,ENDF,,Explosive/Remote Violence,Wazema radio reported Drone strike (two times) reported in Amhara region on Adet Abola and Mesbo highlands. FANO controls the town a day before. Following this attack civilian also killed.,Unknown,Unknown,Yes,No,Wazema Radio,west Gojjam,crime/conflict oriented
1/16/2024,,37PCN3520346769,11.274624,37.490232,Adet,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"On January 16 Wazema radio reported In Amhara region western gojjam zone, Yilmana densa woreda Adet town active fighting reported between the government forces and FANO militants. Following this fighting FANO militants control the town and causalities reported.",0,0,No,No,Wazema Radio,West Gojjam,conflict oriented
1/16/2024,,37PBN6470546791,11.270837,36.844634,Dangila,Amhara,No,,Yes,Armed Clash,ENDF & FANO,,Crime,"DW Amharic reported that In Awi Zone, Dangila town Gomej Vicinity (5 kilometer from the town) fighting reported between the government forces and FANO militants at former special force training center/Barbash camp. Following this all government and private service centers were closed in Dangila town",0,0,No,No,DW Amharic,Awi,conflict oriented
1/13/2024,,37PDM9985411846,10.058192,38.998674,Alem Ketema,Amhara,Yes,,Yes,Drone Strike,ENDF,,Explosive/Remote Violence,"DW Amharic reported drone attack reported on January 13, in Amhara region North Shewa zone Alem Ketema on Zed 03 recreation center near to Arbegnoch secondary school. Following the attack unknown number of causalities reported and the school is not returned to service.",0,Unknown,Yes,No,DW Amharic,North Shewa,crime/conflict oriented
1/11/2024,,37PDR8834324338,13.788501,38.892155,,Tigray,No,,Yes,Crime/Killing,UAG,Red Cross driver,Crime,On January 11th 2024 Wazema Radio reported that an Ethiopian Red Cross Society ambulance driver in Tigray was fatally attacked by unknown assailants while transporting medical personnel to an emergency location in the Embasneyti Woreda,1,0,No,No,Wazema Radio,Central,crime oriented
1/10/2024,,37PBP8964588197,12.550469,37.063963,Chilga,Amhara,No,,Yes,Crime/Killing,FANO,District PP ooficials,Crime,"On January 10,2024 in central Gonder Chilga woreda eight members of prosperity party (including the woreda peace and security and customs office authorities) have been killed by Fano militants, on their way to Chilga.",8,0,No,No,,Central Gonder,crime oriented
